Gene name	GO term accession
Csprs	GO:0016020
Csprs	GO:0004930
Csprs	GO:0007186
Gm16367	GO:0043066
Gm16367	GO:0045892
Gm16367	GO:0045596
Gm16367	GO:0008284
Gm16367	GO:0003674
Gm16367	GO:0008150
Gm16367	GO:0005575
	GO:0003824
Vmn1r186	GO:0007186
Vmn1r186	GO:0016021
Vmn1r186	GO:0016503
	GO:0007186
	GO:0016021
	GO:0016503
Gm28489	
Gm21867	
Gm29448	
Gm21127	
Gm20816	GO:0007276
Gm20816	GO:0005654
Gm20816	GO:0035064
Gm20816	GO:0006355
Gm20816	GO:0005829
Gm29447	
Gm29446	
Gm29452	
Gm29451	
Gm20817	GO:0007286
Gm20817	GO:0051321
Gm20817	GO:0000795
Gm28633	
Gm21562	
Gm29410	
Gm28298	
Gm21572	
Gm28297	
Gm21753	
Gm21723	
Gm28462	
Gm20818	
Gm28296	
Gm21821	
Gm28295	
Gm21842	
Gm28170	
Gm21744	
Gm28764	
Gm20932	
Gm28762	
Gm29134	
Gm28763	
Gm28303	
Gm28304	
Gm28824	
Gm28081	
Gm28080	
Gm21524	
Gm21094	GO:0003674
Gm21094	GO:0007286
Gm21094	GO:0051321
Gm21094	GO:0000795
Gm21094	
Gm21588	
Gm28761	
Gm21599	
Gm28765	
Gm21810	
Gm21916	
Gm28079	
Gm28079	GO:0005654
Gm28079	GO:0035064
Gm28079	GO:0006355
Gm28079	GO:0005829
Gm28079	GO:0007276
Gm28302	
Gm29191	
Gm21756	
Gm28210	
Gm29074	
Gm28211	
Gm28518	
Gm28519	
Gm28520	
Gm21626	
Gm28433	
Gm28521	
Gm28431	
Gm21633	
Gm28432	
Gm20886	
Gm28522	
Gm21808	
Gm21745	
Gm28517	
Gm29532	
Gm29531	
Gm28464	
Gm28841	
Gm29656	
Gm28842	
Gm28843	
Gm29655	
Gm28837	
Gm21647	
Gm29653	
Gm28838	
Gm29654	
Gm28839	
Gm29651	
Gm20866	
Gm20868	
Gm29652	
Gm29080	
Gm21184	
Gm21201	
Gm28844	
Gm21841	
Gm29081	
Gm29077	
Gm29076	
Gm29079	
Gm29078	
Gm20853	
Gm29075	
Gm20870	GO:0005634
Gm20870	GO:0005515
Gm20870	GO:0010468
Gm20870	GO:0005737
Gm20870	GO:0007338
Gm20870	GO:0007530
Gm20870	GO:0048515
Gm29225	
Gm28483	
Gm29226	
Gm28484	
Gm29227	
Gm28480	
Gm20842	
Gm21880	
Gm29386	
Gm29384	
Gm21896	
Gm29280	
Gm20799	
Gm29279	
Gm29182	
Gm28260	
Gm21795	
Gm20844	
Gm28261	
Gm28264	
Gm21872	
Gm20798	
Gm28463	
Gm21757	
Gm28968	
Gm28495	
Gm20846	
Gm20847	
Gm20848	
Gm21766	
Gm20800	
Gm21683	
Gm28468	
Gm20898	
Gm21855	
Gm29333	
Gm29255	
Gm20902	
Gm28332	
Gm28678	
Gm28333	
Gm28334	
Gm28335	
Gm20903	GO:0005634
Gm20903	GO:0005515
Gm20903	GO:0010468
Gm20903	GO:0005737
Gm20903	GO:0007338
Gm20903	GO:0007530
Gm20903	GO:0048515
