Gene name	GO term accession
FCAR	GO:0016020
FCAR	GO:0035579
FCAR	GO:0070821
FCAR	GO:0006955
FCAR	GO:0101003
FCAR	GO:0019862
FCAR	
FCAR	GO:0033031
FCAR	GO:0097011
FCAR	GO:0071356
FCAR	GO:0019766
FCAR	GO:0002446
FCAR	GO:0035457
FCAR	GO:0038093
FCAR	GO:0042119
FCAR	GO:0071222
FCAR	GO:0071346
FCAR	GO:0071354
FCAR	GO:1903209
NPBWR2	GO:0007186
NPBWR2	GO:0016021
NPBWR2	GO:0004930
NPBWR2	GO:0008188
NPBWR2	GO:0005886
NPBWR2	GO:0016020
NPBWR2	GO:0007165
NPBWR2	GO:0005515
NPBWR2	GO:0038003
NPBWR2	GO:0043005
NPBWR2	GO:0007218
NPBWR2	GO:0042923
NPBWR2	GO:0042277
NPBWR2	GO:0004985
KIR3DS1	GO:0016020
KIR2DL4	
MYT1	GO:0008270
MYT1	GO:0006355
MYT1	GO:0005634
MYT1	GO:0046872
MYT1	GO:0003677
MYT1	GO:0005654
MYT1	GO:0005829
MYT1	GO:0003700
MYT1	GO:0030154
MYT1	GO:0007399
MYT1	GO:0006357
MYT1	GO:0000981
MYT1	GO:0000978
MYT1	GO:0000785
MYT1	
PPIAL4F	GO:0003755
PPIAL4F	GO:0006457
PPIAL4F	GO:0000413
PPIAL4F	GO:0016853
KIR2DS4	GO:0005886
KIR2DS4	GO:0016020
KIR2DS4	GO:0005515
KIR2DS4	GO:0023029
KIR2DL1	GO:0016020
GEMIN2P1	
KIR2DS4	
U1	GO:0030627
U1	GO:0000395
U1	GO:0005685
GATAD2B	GO:0008270
GATAD2B	GO:0006355
GATAD2B	GO:0043565
GATAD2B	GO:0000122
GATAD2B	GO:0005634
GATAD2B	GO:0016607
GATAD2B	GO:0032991
GATAD2B	GO:0046872
GATAD2B	GO:0005654
GATAD2B	GO:0000785
GATAD2B	GO:0005515
GATAD2B	GO:0010604
GATAD2B	GO:0000781
GATAD2B	GO:0051173
GATAD2B	GO:0006338
GATAD2B	GO:0045893
GATAD2B	GO:0016581
GATAD2B	GO:0045892
GATAD2B	GO:0031492
GATAD2B	GO:0016575
GATAD2B	GO:0042659
GATAD2B	GO:2000736
RNVU1-26	GO:0030627
RNVU1-26	GO:0000395
RNVU1-26	GO:0005685
NCR1	
RNVU1-2A	GO:0030627
RNVU1-2A	GO:0000395
RNVU1-2A	GO:0005685
KIR2DS5	GO:0005886
KIR2DS5	GO:0016020
KIR2DS5	GO:0005515
KIR2DS5	GO:0006955
KIR2DS5	GO:0030110
KIR2DL2	GO:0016020
LINC00254	
KIR3DL2	GO:0016020
HS3ST6	GO:0008146
HS3ST6	GO:0016020
HS3ST6	GO:0005794
HS3ST6	GO:0016740
HS3ST6	GO:0000139
HS3ST6	GO:0008467
HS3ST6	GO:0015015
KIR2DL5A	GO:0005886
KIR2DL5A	GO:0016020
MEIOB	
SLC27A3	GO:0016021
SLC27A3	GO:0004467
SLC27A3	GO:0031957
